tree,pool_id,date,pool_type,height,water_capacity,leaflit_vol_ml,pH_strip,KH,hardness,no3,salinity,invert_diversity,dens_invert_total,predator_count,predator_size_sum,amphib_diversity,tadpoles_other,tp_femo_hahneli,oophagus_tp,tadpoles_tinc,presence_by_size
frogpool_39,frogpool_39.1,Fri Feb 22 00:00:00 GFT 2019,alive,118,366.52,25,6.4,6,3,10,117,4,0.154207174,1,38,2,8,0,8,0,3
frogpool_39,frogpool_39.2,Fri Feb 22 00:00:00 GFT 2019,alive,105,228.31578,0,6.4,3,3,10,176,4,0.045714286,1,27,0,0,0,0,0,0
frogpool_40,frogpool_40.1,Sat Feb 23 00:00:00 GFT 2019,alive,108,164.934,0,6.4,6,3,10,169,2,0.2,0,0,2,3,0,3,1,3
frogpool_40,frogpool_40.2,Sat Feb 23 00:00:00 GFT 2019,alive,172,226.1952,25,6.8,6,3,10,225,3,0.05,1,20,1,21,0,21,0,3
frogpool_41,frogpool_41.1,Sat Feb 23 00:00:00 GFT 2019,alive,69,43.9824,25,7.2,10,4,0,189,2,0.1,0,0,1,0,0,0,1,3
frogpool_42,frogpool_42.1,Sat Feb 23 00:00:00 GFT 2019,alive,102,795.872,110,6.4,3,7,0,292,4,0.021480739,2,53,0,0,0,0,0,0
frogpool_43,frogpool_43.1,Sat Feb 23 00:00:00 GFT 2019,alive,23,234.5728,0,6.4,3,3,0,118,4,0.034146341,0,0,1,32,0,32,0,2
frogpool_43,frogpool_43.2,Sat Feb 23 00:00:00 GFT 2019,alive,49,267.036,100,6.4,3,4,10,120,3,0.027485112,1,15,0,0,0,0,0,0
frogpool_44,frogpool_44.1,Sat Feb 23 00:00:00 GFT 2019,alive,152,83.776,25,6.4,6,4,10,168,3,0.073170732,1,15,1,0,0,0,1,3
frogpool_45,frogpool_45.1,Sat Feb 23 00:00:00 GFT 2019,alive,25,391.6528,105,6.4,3,4,25,140,3,0.013559322,0,0,1,0,0,0,1,2
frogpool_45,frogpool_45.2,Sat Feb 23 00:00:00 GFT 2019,alive,96,326.7264,50,6.4,6,3,10,120,3,0.023529412,0,0,1,0,0,0,2,2
frogpool_46,frogpool_46.1,Mon Mar 18 00:00:00 GFT 2019,arboreal,1680,4676.7952,900,7.6,20,4,10,316,3,0.011210762,0,0,2,0,0,0,3,3
frogpool_47,frogpool_47.1,Wed Mar 20 00:00:00 GFT 2019,arboreal,2040,9500.1984,5220,7.2,10,3,10,104,4,0.000903614,5,133,1,0,0,0,0,0
